low,SUN_control,SUN-RGBD_control,test_images,high
001614_2014-06-20_11-34-38_260595134347_rgbf000047-resize.jpg,sun_aisiwfgppimtnmxl.jpg,002059_2014-06-24_21-03-23_260595134347_rgbf000055-resize.jpg,,sun_afqpcwgwvbqdrysa.jpg
001617_2014-06-20_11-35-32_260595134347_rgbf000066-resize.jpg,sun_aiyluzcowlbwxmdb.jpg,002512_2014-06-24_13-20-12_094959634447_rgbf000077-resize.jpg,,sun_afreylkbifiqvskh.jpg
002036_2014-06-24_20-21-10_260595134347_rgbf000049-resize.jpg,sun_ajuilspzkrogrlvd.jpg,002520_2014-06-24_13-24-20_094959634447_rgbf000076-resize.jpg,,sun_afrlfajzgqhnadpe.jpg
002082_2014-06-25_19-41-09_260595134347_rgbf000145-resize.jpg,sun_akjiyocmwpxbqjch.jpg,002523_2014-06-24_13-25-13_094959634447_rgbf000081-resize.jpg,,sun_afrvtpszmdzszmri.jpg
002087_2014-06-25_19-43-15_260595134347_rgbf000134-resize.jpg,sun_akstystfkaastjxe.jpg,002537_2014-06-24_13-36-51_094959634447_rgbf000079-resize.jpg,,sun_ageutxkjhkglitcq.jpg
002527_2014-06-24_13-26-28_094959634447_rgbf000078-resize.jpg,sun_aldiqdwgauilevkh.jpg,002630_2014-06-24_14-47-50_094959634447_rgbf000055-resize.jpg,,sun_agpzahjrmzzoymig.jpg
002617_2014-06-24_14-36-55_094959634447_rgbf000060-resize.jpg,sun_alhutdbptlvzhnix.jpg,002750_2014-06-22_19-08-03_094959634447_rgbf000094-resize.jpg,,sun_ahsjwikeppwlqtlx.jpg
002640_2014-06-24_14-51-49_094959634447_rgbf000071-resize.jpg,sun_amcodlddezlgcasb.jpg,002870_2014-06-01_15-16-29_094959634447_rgbf000151-resize.jpg,,sun_aiwdglrsrkkfbgzz.jpg
002641_2014-06-24_14-52-01_094959634447_rgbf000061-resize.jpg,sun_anfgnmnerkafsehh.jpg,002900_2014-06-03_18-01-15_094959634447_rgbf000150-resize.jpg,,sun_ajlandftvcwamwwg.jpg
002647_2014-06-24_14-54-29_094959634447_rgbf000067-resize.jpg,sun_aobzashczzvococq.jpg,002901_2014-06-03_18-01-52_094959634447_rgbf000150-resize.jpg,,sun_akxmlxalrwxzeggl.jpg
002673_2014-06-13_16-07-38_094959634447_rgbf000150-resize.jpg,sun_aoeuisfumiaqvwtd.jpg,002906_2014-06-03_18-05-12_094959634447_rgbf000150-resize.jpg,,sun_algbdbgevjbuuufg.jpg
002691_2014-06-13_16-31-07_094959634447_rgbf000151-resize.jpg,sun_aojppewhorafjccx.jpg,003093_2014-06-24_21-02-04_094959634447_rgbf000063-resize.jpg,,sun_alrvpvpmsndbnsmi.jpg
002704_2014-06-22_11-30-07_094959634447_rgbf000096-resize.jpg,sun_aoqfcxjpicgkpsna.jpg,003114_2014-05-11_20-40-39_094959634447_rgbf000100-resize.jpg,,sun_amodkzuwphzinepq.jpg
002740_2014-06-22_12-06-35_094959634447_rgbf000032-resize.jpg,sun_aoqzyrievujwbfrk.jpg,,,sun_amqtfsnvzjtdpvvm.jpg
002793_2014-06-22_19-37-50_094959634447_rgbf000074-resize.jpg,sun_apfnhnsiviabpcrs.jpg,,,sun_ansidqcvysboslny.jpg
002858_2014-06-03_19-00-45_094959634447_rgbf000171-resize.jpg,sun_aqhjlanuytugdhwl.jpg,,,sun_ansoqsfvbzwkrhxx.jpg
002881_2014-06-03_17-37-20_094959634447_rgbf000151-resize.jpg,sun_aqlzlssedjipskwg.jpg,,,sun_aoquhiddlfqapdlz.jpg
002890_2014-06-03_17-52-46_094959634447_rgbf000203-resize.jpg,sun_aryhhfrqnubpeqbl.jpg,,,sun_appjdfmnspkchyeb.jpg
002892_2014-06-03_17-54-31_094959634447_rgbf000170-resize.jpg,sun_aryhzqtgzrsfoydv.jpg,,,sun_aqeodisfzenojwwt.jpg
002894_2014-06-03_17-56-17_094959634447_rgbf000150-resize.jpg,sun_asspligpjsrsyrtk.jpg,,,sun_aqssggexsygwqmwf.jpg
002895_2014-06-03_17-56-53_094959634447_rgbf000150-resize.jpg,sun_atakuujgxgmwsgfl.jpg,,,sun_aqtbaxfibymamjuw.jpg
002905_2014-06-03_18-04-43_094959634447_rgbf000151-resize.jpg,sun_atokeuriienvadmo.jpg,,,sun_arckkwehdhltnkxg.jpg
002942_2014-06-26_15-54-57_094959634447_rgbf000086-resize.jpg,sun_atyuozssqqwypctv.jpg,,,sun_arzajpuktswgnznh.jpg
002949_2014-06-26_15-57-42_094959634447_rgbf000079-resize.jpg,sun_avaldgbhpkacnjfn.jpg,,,sun_asfpmuukmocwisil.jpg
003099_2014-06-24_21-04-53_094959634447_rgbf000076-resize.jpg,sun_avpnxhlmsphuonwe.jpg,,,sun_aslsttlwbnbjieik.jpg
003102_2014-06-24_21-05-50_094959634447_rgbf000070-resize.jpg,sun_avqetexixplnmtde.jpg,,,sun_asnqkkyhilqkxiqm.jpg
003109_2014-06-24_21-08-48_094959634447_rgbf000082-resize.jpg,sun_avtyflvlzqycaiad.jpg,,,sun_atjyemwleykdywmb.jpg
003374_2014-05-20_14-24-41_094959634447_rgbf000100-resize.jpg,sun_awuayhvttefypwhk.jpg,,,sun_atvmzgefhybitoef.jpg
003382_2014-05-20_14-41-00_094959634447_rgbf000101-resize.jpg,sun_axhrcnsttvojokbk.jpg,,,sun_aughckodglpirnxy.jpg
003640_2014-05-23_22-10-43_094959634447_rgbf000101-resize.jpg,sun_axkgbgelgnzfaual.jpg,,,sun_aveemgfwbynovchb.jpg
sun_aasnnbbavmebvphn.jpg,sun_axpdhhkspfjkziom.jpg,,,sun_awpygoncvcbwwevb.jpg
sun_abcjxvviqsjjwuao.jpg,sun_axqymxhexnxsuxzp.jpg,,,sun_awtzhouicgildphs.jpg
sun_adzbkrvisvmtpxee.jpg,sun_axzmxlymdvjqqfpk.jpg,,,sun_awwhkjgubqedifjf.jpg
sun_akavuoxhsnrshjtb.jpg,sun_aymnlwwwbyisixfr.jpg,,,sun_axdffaditleitfnb.jpg
sun_alasycxgcamvsffx.jpg,sun_aypynlnsusubkuku.jpg,,,sun_axinksamqqkuscfi.jpg
sun_amexfydwjdtyhydu.jpg,sun_azlmnuvamaigwmzo.jpg,,,sun_axqheyohiyfsrljz.jpg
sun_amfzhbvtrslclwdb.jpg,sun_azprhkizaexatfba.jpg,,,sun_ayaudcpmpcxbntrj.jpg
sun_amsnpilufjouvhym.jpg,sun_aztxfwxatxbfwmcv.jpg,,,sun_ayvpxyqgozezaswr.jpg
sun_anayhfpicarrbnyp.jpg,sun_bbpoakgwtgovqord.jpg,,,sun_ayyaqrdebvjxmnun.jpg
sun_aoecfksqojgzuotk.jpg,sun_bcjwxsjwsvkfskep.jpg,,,sun_ayzwrfmejwnjncpp.jpg
sun_aqkwcvqvtzjdvuec.jpg,sun_bcjxyczroqzvrngs.jpg,,,sun_azwjpslfsraawhoz.jpg
sun_aqxxbgqhvsoubenj.jpg,sun_bcsvszojgjjcexnu.jpg,,,sun_azwwjcrzdvvyzgoe.jpg
sun_aqynrwkuyocswuzd.jpg,sun_bcvjnccckrkbgwsx.jpg,,,sun_bdstfafqohpgtdug.jpg
sun_aqypmayniekoilrw.jpg,sun_bdsfihqcowpyfyoh.jpg,,,sun_bfhlobdtmjyfhyav.jpg
sun_asduhifcdfyekcdz.jpg,sun_bftkancdseujtsik.jpg,,,sun_bgzvgkeswjhfxjmf.jpg
sun_avizukluogzorelh.jpg,sun_bgayxnecjrrckalp.jpg,,,sun_bhonyxltrhclmivx.jpg
sun_avlmvbwxoawpkbak.jpg,sun_bgbpvhuhzxmtvimk.jpg,,,sun_bjaaftuibfpyjgdw.jpg
sun_awyuuqkqnpsrvznc.jpg,sun_biivklwtzhqcwvfo.jpg,,,sun_bjrkxxgvnxwtdykz.jpg
sun_azlmgeqekovfaecg.jpg,sun_biwnkkseviodpwdr.jpg,,,sun_bjvozqfcdzzwtobu.jpg
sun_azpakkjmwgucbbac.jpg,sun_bjqgxdqmzsyjiase.jpg,,,sun_bkdqwpptaiycyvpw.jpg
sun_bajlayyngiopgdzi.jpg,sun_bkoqbvbczpizkgwp.jpg,,,sun_blwkmhblbzypyozq.jpg
sun_baphkzwyhkodgwey.jpg,sun_bohcahebpjqbazhu.jpg,,,sun_blylcqvqdjmoeuoz.jpg
sun_bbmdoylvxmyvybte.jpg,sun_bsabhbpgrjiqyutv.jpg,,,sun_bmlswqhfomvwnbnc.jpg
sun_bcfpdrrhypidfvpz.jpg,sun_bwfbjujwjxxnfqnh.jpg,,,sun_bmxegptqdoztwvsb.jpg
sun_bepxaqgzuwlkjzge.jpg,sun_bybpnnlgljqojtvi.jpg,,,sun_bnhgmewonjiyiecs.jpg
sun_bgleyjzfabmmlyxm.jpg,sun_bykurgwrxpwfeyyb.jpg,,,sun_bpfkhnkxywdodcic.jpg
sun_bmuvfydunudkjwgy.jpg,sun_byuuiytmuwawdlxq.jpg,,,sun_bsxnbdvmmeihzatl.jpg
sun_bofuvpdnxtbfmrvp.jpg,sun_bzcgpmsdfnytohpv.jpg,,,sun_bueulxukagexbsmu.jpg
sun_bpagosmwpwzxeyrc.jpg,sun_bzgiwesrddaqjdbp.jpg,,,sun_bwolgpygaenfzlkn.jpg
sun_bpzzatthlcapxzol.jpg,sun_cpogtxxjhsrgczki.jpg,,,sun_bxpjvxfjwyhkyqug.jpg
sun_bvgqxvgsujafjmyh.jpg,sun_dduqwqcnizkjmbym.jpg,,,sun_bxwjmluoicweheir.jpg
sun_bvxzlpplafmfjhaw.jpg,sun_dezyrtacbxgoehoi.jpg,,,sun_byzuzoqljxuwtvti.jpg
sun_bykfoglinjjajuam.jpg,sun_dgtgwmmoomuexhhc.jpg,,,sun_bzbvrnhhyzzqefyg.jpg
sun_bzqzzzcwdlfjmozr.jpg,sun_djvfskyyofjfjgxm.jpg,,,sun_bzheckjkqqgwcfnm.jpg
sun_dhgkvwtvjrrztnja.jpg,sun_djyusglcuskwollt.jpg,,,sun_bzuvddxdkbzfifoa.jpg
sun_doyfckqysjamsckb.jpg,sun_dszyiikuzuvzijhr.jpg,,,sun_dstsuurgeihyfgib.jpg
